+-------------------------------+-------------------------------+-----------------+-----------------+----------+--------+--------+-------+-------+------+------------+-------+----------+----------+--------------+---------------+
| sp1                           | sp2                           | grp1            | grp2            | theta    | prev1  | prev2  | n11   | n10   | n01  | same_group | n00   | min_cell | selected | years_shared | years_jaccard |
| chaetognath_indet             | rhincalanus_gigas             | Chaetognath     | Copepod         | 0.64606  | 0.1168 | 0.0908 | 609   | 2894  | 2113 | FALSE      | 24367 | 609      | TRUE     | 19           | 0.905         |
| rhincalanus_gigas             | eukrohnia_hamata              | Copepod         | Chaetognath     | 0.63113  | 0.0908 | 0.0545 | 306   | 2416  | 1328 | FALSE      | 25933 | 306      | TRUE     | 20           | 1.000         |
| calanus_simillimus            | clausocalanus_brevipes        | Copepod         | Copepod         | 0.62567  | 0.4924 | 0.3716 | 7626  | 7139  | 3515 | TRUE       | 11703 | 3515     | TRUE     | 16           | 0.762         |
| ctenocalanus_sp_cf_citer_2    | euphausiidae_calyptopis_indet | Copepod         | Krill           | -0.62382 | 0.0657 | 0.0613 | 98    | 1872  | 1739 | FALSE      | 26274 | 98       | TRUE     | 6            | 0.316         |
| copepod_nauplius_indet        | metridia_lucens               | Copepod         | Copepod         | -0.62053 | 0.3308 | 0.1060 | 856   | 9062  | 2323 | TRUE       | 17742 | 856      | TRUE     | 16           | 0.842         |
| ctenocalanus_sp_cf_citer      | egg_indet                     | Copepod         | Other           | -0.61817 | 0.1998 | 0.0739 | 261   | 5730  | 1955 | FALSE      | 22037 | 261      | TRUE     | 12           | 0.667         |
| ctenocalanus_sp_cf_citer      | thysanoessa_macrura_furcilia  | Copepod         | Krill           | 0.61292  | 0.1998 | 0.0655 | 561   | 5430  | 1404 | FALSE      | 22588 | 561      | TRUE     | 10           | 0.526         |
| euphausiidae_furcilia_indet   | euphausiidae_calyptopis_indet | Krill           | Krill           | 0.61175  | 0.1233 | 0.0613 | 550   | 3148  | 1287 | TRUE       | 24998 | 550      | TRUE     | 19           | 1.000         |
| thysanoessa_macrura_f6        | ctenocalanus_sp_cf_citer_2    | Krill           | Copepod         | -0.60227 | 0.0728 | 0.0657 | 101   | 2083  | 1869 | FALSE      | 25930 | 101      | TRUE     | 6            | 0.400         |
| rhincalanus_gigas_nauplius    | themisto_gaudichaudii         | Copepod         | Amphipod        | 0.60192  | 0.2821 | 0.1044 | 1426  | 7033  | 1705 | FALSE      | 19819 | 1426     | TRUE     | 20           | 0.833         |
| calanoides_acutus             | ostracoda_indet               | Copepod         | Other           | -0.60017 | 0.1624 | 0.1587 | 757   | 4111  | 4002 | FALSE      | 21113 | 757      | TRUE     | 20           | 0.909         |
| rhincalanus_gigas_nauplius    | rhincalanus_gigas             | Copepod         | Copepod         | 0.59597  | 0.2821 | 0.0908 | 1443  | 7016  | 1279 | TRUE       | 20245 | 1279     | TRUE     | 20           | 1.000         |
| clausocalanus_laticeps        | radiozoa                      | Copepod         | Other           | 0.58593  | 0.2775 | 0.0741 | 1179  | 7141  | 1044 | FALSE      | 20619 | 1044     | TRUE     | 10           | 0.556         |
| ostracoda_indet               | neocalanus_tonsus             | Other           | Copepod         | 0.58009  | 0.1587 | 0.0930 | 919   | 3840  | 1868 | FALSE      | 23356 | 919      | TRUE     | 16           | 0.800         |
| small_calanoid_copepods       | ctenocalanus_sp_cf_citer_2    | Copepod         | Copepod         | -0.57882 | 0.8941 | 0.0657 | 1945  | 24864 | 25   | TRUE       | 3149  | 25       | TRUE     | 6            | 0.261         |
| rhincalanus_gigas_nauplius    | metridia_lucens               | Copepod         | Copepod         | -0.57665 | 0.2821 | 0.1060 | 750   | 7709  | 2429 | TRUE       | 19095 | 750      | TRUE     | 19           | 0.950         |
| clausocalanus_laticeps        | chaetognath_indet             | Copepod         | Chaetognath     | 0.57437  | 0.2775 | 0.1168 | 1665  | 6655  | 1838 | FALSE      | 19825 | 1665     | TRUE     | 16           | 0.800         |
| ostracoda_indet               | thysanoessa_macrura_furcilia  | Other           | Krill           | 0.56799  | 0.1587 | 0.0655 | 459   | 4300  | 1506 | FALSE      | 23718 | 459      | TRUE     | 15           | 0.714         |
| foraminifera                  | ctenocalanus_sp_cf_citer      | Foraminifera    | Copepod         | 0.56317  | 0.5150 | 0.1998 | 3808  | 11632 | 2183 | FALSE      | 12360 | 2183     | TRUE     | 13           | 0.619         |
| oithona_similis               | neocalanus_tonsus             | Copepod         | Copepod         | -0.54799 | 0.9206 | 0.0930 | 2480  | 25122 | 307  | TRUE       | 2074  | 307      | TRUE     | 16           | 0.762         |
| oikopleura_sp                 | clausocalanus_brevipes        | Appendicularian | Copepod         | 0.54700  | 0.4227 | 0.3716 | 6494  | 6179  | 4647 | FALSE      | 12663 | 4647     | TRUE     | 16           | 0.762         |
| euphausiidae_furcilia_indet   | neocalanus_tonsus             | Krill           | Copepod         | 0.54349  | 0.1233 | 0.0930 | 747   | 2951  | 2040 | FALSE      | 24245 | 747      | TRUE     | 16           | 0.842         |
| clausocalanus_brevipes        | ostracoda_indet               | Copepod         | Other           | 0.53715  | 0.3716 | 0.1587 | 2964  | 8177  | 1795 | FALSE      | 17047 | 1795     | TRUE     | 16           | 0.800         |
| foraminifera                  | thysanoessa_macrura_furcilia  | Foraminifera    | Krill           | -0.53498 | 0.5150 | 0.0655 | 697   | 14743 | 1268 | FALSE      | 13275 | 697      | TRUE     | 15           | 0.682         |
| fritillaria_sp                | rhincalanus_gigas_nauplius    | Appendicularian | Copepod         | 0.53317  | 0.5238 | 0.2821 | 6152  | 9554  | 2307 | FALSE      | 11970 | 2307     | TRUE     | 20           | 1.000         |
| ostracoda_indet               | euphausiidae_calyptopis_indet | Other           | Krill           | 0.53100  | 0.1587 | 0.0613 | 731   | 4028  | 1106 | FALSE      | 24118 | 731      | TRUE     | 19           | 0.950         |
| oithona_similis               | euphausiidae_furcilia_indet   | Copepod         | Krill           | 0.52878  | 0.9206 | 0.1233 | 3613  | 23989 | 85   | FALSE      | 2296  | 85       | TRUE     | 19           | 0.905         |
| rhincalanus_gigas_nauplius    | thysanoessa_macrura_f1        | Copepod         | Krill           | 0.52423  | 0.2821 | 0.0631 | 922   | 7537  | 970  | FALSE      | 20554 | 922      | TRUE     | 15           | 0.750         |
| copepod_nauplius_indet        | eukrohnia_hamata              | Copepod         | Chaetognath     | -0.52370 | 0.3308 | 0.0545 | 324   | 9594  | 1310 | FALSE      | 18755 | 324      | TRUE     | 16           | 0.800         |
| thysanoessa_macrura_f6        | euphausiidae_calyptopis_indet | Krill           | Krill           | -0.52178 | 0.0728 | 0.0613 | 123   | 2061  | 1714 | TRUE       | 26085 | 123      | TRUE     | 15           | 0.789         |
| egg_indet                     | thysanoessa_macrura_f6        | Other           | Krill           | -0.51095 | 0.0739 | 0.0728 | 127   | 2089  | 2057 | FALSE      | 25710 | 127      | TRUE     | 15           | 0.882         |
| oikopleura_sp                 | radiozoa                      | Appendicularian | Other           | 0.50434  | 0.4227 | 0.0741 | 1482  | 11191 | 741  | FALSE      | 16569 | 741      | TRUE     | 12           | 0.571         |
| themisto_gaudichaudii         | euphausiidae_calyptopis_indet | Amphipod        | Krill           | -0.49251 | 0.1044 | 0.0613 | 130   | 3001  | 1707 | FALSE      | 25145 | 130      | TRUE     | 19           | 0.792         |
| fritillaria_sp                | ctenocalanus_sp_cf_citer_2    | Appendicularian | Copepod         | 0.49205  | 0.5238 | 0.0657 | 1500  | 14206 | 470  | FALSE      | 13807 | 470      | TRUE     | 6            | 0.300         |
| thysanoessa_macrura           | euphausiidae_furcilia_indet   | Krill           | Krill           | -0.49172 | 0.1911 | 0.1233 | 481   | 5250  | 3217 | TRUE       | 21035 | 481      | TRUE     | 19           | 0.864         |
